"count" , "type" , "month"
0 , 4. % CLIENTELE SOUTH-AMERICA , Nov
0 , 4. % CLIENTELE SOUTH-AMERICA , Dec
20 , 5. % CLIENTELE EUROPE , Jan
15 , 5. % CLIENTELE EUROPE , Feb
14 , 5. % CLIENTELE EUROPE , Mar
15 , 5. % CLIENTELE EUROPE , Apr
23 , 5. % CLIENTELE EUROPE , May
27 , 5. % CLIENTELE EUROPE , Jun
22 , 5. % CLIENTELE EUROPE , Jul
30 , 5. % CLIENTELE EUROPE , Aug
27 , 5. % CLIENTELE EUROPE , Sep
19 , 5. % CLIENTELE EUROPE , Oct
19 , 5. % CLIENTELE EUROPE , Nov
17 , 5. % CLIENTELE EUROPE , Dec
1 , 6. % CLIENTELE M.EAST/AFRICA , Jan
0 , 6. % CLIENTELE M.EAST/AFRICA , Feb
0 , 6. % CLIENTELE M.EAST/AFRICA , Mar
8 , 6. % CLIENTELE M.EAST/AFRICA , Apr
6 , 6. % CLIENTELE M.EAST/AFRICA , May
4 , 6. % CLIENTELE M.EAST/AFRICA , Jun
6 , 6. % CLIENTELE M.EAST/AFRICA , Jul
4 , 6. % CLIENTELE M.EAST/AFRICA , Aug
2 , 6. % CLIENTELE M.EAST/AFRICA , Sep
1 , 6. % CLIENTELE M.EAST/AFRICA , Oct
0 , 6. % CLIENTELE M.EAST/AFRICA , Nov
1 , 6. % CLIENTELE M.EAST/AFRICA , Dec
3 , 7. % CLIENTELE ASIA , Jan
10 , 7. % CLIENTELE ASIA , Feb
6 , 7. % CLIENTELE ASIA , Mar
0 , 7. % CLIENTELE ASIA , Apr
3 , 7. % CLIENTELE ASIA , May
13 , 7. % CLIENTELE ASIA , Jun
8 , 7. % CLIENTELE ASIA , Jul
9 , 7. % CLIENTELE ASIA , Aug
5 , 7. % CLIENTELE ASIA , Sep
2 , 7. % CLIENTELE ASIA , Oct
5 , 7. % CLIENTELE ASIA , Nov
2 , 7. % CLIENTELE ASIA , Dec
78 , 8. % BUSINESSMEN , Jan
80 , 8. % BUSINESSMEN , Feb
85 , 8. % BUSINESSMEN , Mar
86 , 8. % BUSINESSMEN , Apr
85 , 8. % BUSINESSMEN , May
87 , 8. % BUSINESSMEN , Jun
70 , 8. % BUSINESSMEN , Jul
76 , 8. % BUSINESSMEN , Aug
87 , 8. % BUSINESSMEN , Sep
85 , 8. % BUSINESSMEN , Oct
87 , 8. % BUSINESSMEN , Nov
80 , 8. % BUSINESSMEN , Dec
22 , 9. % TOURISTS , Jan
20 , 9. % TOURISTS , Feb
15 , 9. % TOURISTS , Mar
14 , 9. % TOURISTS , Apr
15 , 9. % TOURISTS , May
13 , 9. % TOURISTS , Jun
30 , 9. % TOURISTS , Jul
24 , 9. % TOURISTS , Aug
13 , 9. % TOURISTS , Sep
15 , 9. % TOURISTS , Oct
13 , 9. % TOURISTS , Nov
20 , 9. % TOURISTS , Dec
70 , 10. % DIRECT RESERVATIONS , Jan
70 , 10. % DIRECT RESERVATIONS , Feb
75 , 10. % DIRECT RESERVATIONS , Mar
74 , 10. % DIRECT RESERVATIONS , Apr
69 , 10. % DIRECT RESERVATIONS , May
68 , 10. % DIRECT RESERVATIONS , Jun
74 , 10. % DIRECT RESERVATIONS , Jul
75 , 10. % DIRECT RESERVATIONS , Aug
68 , 10. % DIRECT RESERVATIONS , Sep
68 , 10. % DIRECT RESERVATIONS , Oct
64 , 10. % DIRECT RESERVATIONS , Nov
75 , 10. % DIRECT RESERVATIONS , Dec
20 , 11. % AGENCY RESERVATIONS , Jan
18 , 11. % AGENCY RESERVATIONS , Feb
19 , 11. % AGENCY RESERVATIONS , Mar
17 , 11. % AGENCY RESERVATIONS , Apr
27 , 11. % AGENCY RESERVATIONS , May
27 , 11. % AGENCY RESERVATIONS , Jun
19 , 11. % AGENCY RESERVATIONS , Jul
19 , 11. % AGENCY RESERVATIONS , Aug
26 , 11. % AGENCY RESERVATIONS , Sep
27 , 11. % AGENCY RESERVATIONS , Oct
21 , 11. % AGENCY RESERVATIONS , Nov
15 , 11. % AGENCY RESERVATIONS , Dec
10 , 12. % AIR CREWS , Jan
12 , 12. % AIR CREWS , Feb
6 , 12. % AIR CREWS , Mar
9 , 12. % AIR CREWS , Apr
4 , 12. % AIR CREWS , May
5 , 12. % AIR CREWS , Jun
7 , 12. % AIR CREWS , Jul
6 , 12. % AIR CREWS , Aug
6 , 12. % AIR CREWS , Sep
5 , 12. % AIR CREWS , Oct
15 , 12. % AIR CREWS , Nov
10 , 12. % AIR CREWS , Dec
2 , 13. % CLIENTS UNDER 20 YEARS , Jan
2 , 13. % CLIENTS UNDER 20 YEARS , Feb
4 , 13. % CLIENTS UNDER 20 YEARS , Mar
2 , 13. % CLIENTS UNDER 20 YEARS , Apr
2 , 13. % CLIENTS UNDER 20 YEARS , May
1 , 13. % CLIENTS UNDER 20 YEARS , Jun
1 , 13. % CLIENTS UNDER 20 YEARS , Jul
2 , 13. % CLIENTS UNDER 20 YEARS , Aug
2 , 13. % CLIENTS UNDER 20 YEARS , Sep
4 , 13. % CLIENTS UNDER 20 YEARS , Oct
2 , 13. % CLIENTS UNDER 20 YEARS , Nov
5 , 13. % CLIENTS UNDER 20 YEARS , Dec
25 , 14. % CLIENTS 20-35 YEARS , Jan
27 , 14. % CLIENTS 20-35 YEARS , Feb
37 , 14. % CLIENTS 20-35 YEARS , Mar
35 , 14. % CLIENTS 20-35 YEARS , Apr
25 , 14. % CLIENTS 20-35 YEARS , May
25 , 14. % CLIENTS 20-35 YEARS , Jun
27 , 14. % CLIENTS 20-35 YEARS , Jul
28 , 14. % CLIENTS 20-35 YEARS , Aug
24 , 14. % CLIENTS 20-35 YEARS , Sep
30 , 14. % CLIENTS 20-35 YEARS , Oct
24 , 14. % CLIENTS 20-35 YEARS , Nov
30 , 14. % CLIENTS 20-35 YEARS , Dec
48 , 15. % CLIENTS 35-55 YEARS , Jan
49 , 15. % CLIENTS 35-55 YEARS , Feb
42 , 15. % CLIENTS 35-55 YEARS , Mar
48 , 15. % CLIENTS 35-55 YEARS , Apr
54 , 15. % CLIENTS 35-55 YEARS , May
55 , 15. % CLIENTS 35-55 YEARS , Jun
53 , 15. % CLIENTS 35-55 YEARS , Jul
51 , 15. % CLIENTS 35-55 YEARS , Aug
55 , 15. % CLIENTS 35-55 YEARS , Sep
46 , 15. % CLIENTS 35-55 YEARS , Oct
55 , 15. % CLIENTS 35-55 YEARS , Nov
43 , 15. % CLIENTS 35-55 YEARS , Dec
25 , 16. % CLIENTS MORE THAN 55 YEARS , Jan
22 , 16. % CLIENTS MORE THAN 55 YEARS , Feb
17 , 16. % CLIENTS MORE THAN 55 YEARS , Mar
15 , 16. % CLIENTS MORE THAN 55 YEARS , Apr
19 , 16. % CLIENTS MORE THAN 55 YEARS , May
19 , 16. % CLIENTS MORE THAN 55 YEARS , Jun
19 , 16. % CLIENTS MORE THAN 55 YEARS , Jul
19 , 16. % CLIENTS MORE THAN 55 YEARS , Aug
19 , 16. % CLIENTS MORE THAN 55 YEARS , Sep
20 , 16. % CLIENTS MORE THAN 55 YEARS , Oct
19 , 16. % CLIENTS MORE THAN 55 YEARS , Nov
22 , 16. % CLIENTS MORE THAN 55 YEARS , Dec
163 , 17. PRICE OF ROOMS , Jan
167 , 17. PRICE OF ROOMS , Feb
166 , 17. PRICE OF ROOMS , Mar
174 , 17. PRICE OF ROOMS , Apr
152 , 17. PRICE OF ROOMS , May
155 , 17. PRICE OF ROOMS , Jun
145 , 17. PRICE OF ROOMS , Jul
170 , 17. PRICE OF ROOMS , Aug
157 , 17. PRICE OF ROOMS , Sep
174 , 17. PRICE OF ROOMS , Oct
165 , 17. PRICE OF ROOMS , Nov
158 , 17. PRICE OF ROOMS , Dec
1.65 , 18. LENGTH OF STAY , Jan
1.71 , 18. LENGTH OF STAY , Feb
1.65 , 18. LENGTH OF STAY , Mar
1.91 , 18. LENGTH OF STAY , Apr
1.9 , 18. LENGTH OF STAY , May
2 , 18. LENGTH OF STAY , Jun
1.54 , 18. LENGTH OF STAY , Jul
1.6 , 18. LENGTH OF STAY , Aug
1.73 , 18. LENGTH OF STAY , Sep
1.82 , 18. LENGTH OF STAY , Oct
1.66 , 18. LENGTH OF STAY , Nov
1.44 , 18. LENGTH OF STAY , Dec
67 , 19. % OCCUPANCY , Jan
82 , 19. % OCCUPANCY , Feb
70 , 19. % OCCUPANCY , Mar
83 , 19. % OCCUPANCY , Apr
74 , 19. % OCCUPANCY , May
77 , 19. % OCCUPANCY , Jun
56 , 19. % OCCUPANCY , Jul
62 , 19. % OCCUPANCY , Aug
90 , 19. % OCCUPANCY , Sep
92 , 19. % OCCUPANCY , Oct
78 , 19. % OCCUPANCY , Nov
55 , 19. % OCCUPANCY , Dec
0 , 20. CONVENTIONS , Jan
0 , 20. CONVENTIONS , Feb
0 , 20. CONVENTIONS , Mar
1 , 20. CONVENTIONS , Apr
1 , 20. CONVENTIONS , May
1 , 20. CONVENTIONS , Jun
0 , 20. CONVENTIONS , Jul
0 , 20. CONVENTIONS , Aug
1 , 20. CONVENTIONS , Sep
1 , 20. CONVENTIONS , Oct
1 , 20. CONVENTIONS , Nov
1 , 20. CONVENTIONS , Dec
