(BACKGROUND_COLOR:@Color{255,255,255}; X:0.0; Y:9.0; WIDTH:10.0; HEIGHT:10.0; RIGHT:10.0; BOTTOM:19.0;)
(ZOOM:1.0; X:0.0; Y:0.0; WIDTH:0.0; HEIGHT:0.0; PORTAL_WIDTH:0.0; PORTAL_HEIGHT:0.0; BOTTOM:0.0; RIGHT:0.0;)
(ID:00; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:0.0; Y:0.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=0.0,y=0.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:11; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:1.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-1.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:12; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:2.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-2.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:13; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:3.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-3.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:14; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:4.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-4.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:15; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:5.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-5.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:16; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:6.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-6.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:17; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:7.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-7.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:18; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:8.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-8.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:19; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:1.0; Y:9.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=1.0,y=-9.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:20; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:0.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=0.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:21; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:1.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-1.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:22; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:2.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-2.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:23; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:3.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-3.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:24; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:4.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-4.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:25; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:5.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-5.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:26; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:6.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-6.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:27; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:7.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-7.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:28; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:8.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-8.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:29; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:2.0; Y:9.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=2.0,y=-9.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:30; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:0.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=0.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:31; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:1.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-1.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:32; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:2.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-2.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:33; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:3.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-3.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:34; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:4.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-4.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:35; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:5.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-5.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:36; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:6.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-6.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:37; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:7.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-7.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:38; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:8.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-8.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:39; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:3.0; Y:9.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=3.0,y=-9.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:40; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:0.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=0.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:41; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:1.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=-1.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:42; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:2.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=-2.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:43; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:3.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=-3.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:44; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:4.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=-4.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:45; SHAPE:RECTANGLE; ROTATION:0.0; SIZE:1.0; WIDTH:5.0; HEIGHT:5.0; X:4.0; Y:5.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=4.0,y=-5.0,w=1.0,h=1.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
