time,type,value
197,Susceptible,184198
198,Infectious,0
198,Recovered,815802
198,Susceptible,184198
199,Infectious,0
199,Recovered,815802
199,Susceptible,184198
200,Infectious,0
200,Recovered,815802
200,Susceptible,184198
201,Infectious,0
201,Recovered,815802
201,Susceptible,184198
202,Infectious,0
202,Recovered,815802
202,Susceptible,184198
203,Infectious,0
203,Recovered,815802
203,Susceptible,184198
204,Infectious,0
204,Recovered,815802
204,Susceptible,184198
205,Infectious,0
205,Recovered,815802
205,Susceptible,184198
206,Infectious,0
206,Recovered,815802
206,Susceptible,184198
207,Infectious,0
207,Recovered,815802
207,Susceptible,184198
208,Infectious,0
208,Recovered,815802
208,Susceptible,184198
209,Infectious,0
209,Recovered,815802
209,Susceptible,184198
210,Infectious,0
210,Recovered,815802
210,Susceptible,184198
211,Infectious,0
211,Recovered,815802
211,Susceptible,184198
212,Infectious,0
212,Recovered,815802
212,Susceptible,184198
213,Infectious,0
213,Recovered,815802
213,Susceptible,184198
214,Infectious,0
214,Recovered,815802
214,Susceptible,184198
215,Infectious,0
215,Recovered,815802
215,Susceptible,184198
216,Infectious,0
216,Recovered,815802
216,Susceptible,184198
217,Infectious,0
217,Recovered,815802
217,Susceptible,184198
218,Infectious,0
218,Recovered,815802
218,Susceptible,184198
219,Infectious,0
219,Recovered,815802
219,Susceptible,184198
220,Infectious,0
220,Recovered,815802
220,Susceptible,184198
221,Infectious,0
221,Recovered,815802
221,Susceptible,184198
222,Infectious,0
222,Recovered,815802
222,Susceptible,184198
223,Infectious,0
223,Recovered,815802
223,Susceptible,184198
224,Infectious,0
224,Recovered,815802
224,Susceptible,184198
225,Infectious,0
225,Recovered,815802
225,Susceptible,184198
226,Infectious,0
226,Recovered,815802
226,Susceptible,184198
227,Infectious,0
227,Recovered,815802
227,Susceptible,184198
228,Infectious,0
228,Recovered,815802
228,Susceptible,184198
229,Infectious,0
229,Recovered,815802
229,Susceptible,184198
230,Infectious,0
230,Recovered,815802
230,Susceptible,184198
231,Infectious,0
231,Recovered,815802
231,Susceptible,184198
232,Infectious,0
232,Recovered,815802
232,Susceptible,184198
233,Infectious,0
233,Recovered,815802
233,Susceptible,184198
234,Infectious,0
234,Recovered,815802
234,Susceptible,184198
235,Infectious,0
235,Recovered,815802
235,Susceptible,184198
236,Infectious,0
236,Recovered,815802
236,Susceptible,184198
237,Infectious,0
237,Recovered,815802
237,Susceptible,184198
238,Infectious,0
238,Recovered,815802
238,Susceptible,184198
239,Infectious,0
239,Recovered,815802
239,Susceptible,184198
240,Infectious,0
240,Recovered,815802
240,Susceptible,184198
241,Infectious,0
241,Recovered,815802
241,Susceptible,184198
242,Infectious,0
242,Recovered,815802
242,Susceptible,184198
243,Infectious,0
243,Recovered,815802
243,Susceptible,184198
244,Infectious,0
244,Recovered,815802
244,Susceptible,184198
245,Infectious,0
245,Recovered,815802
245,Susceptible,184198
246,Infectious,0
246,Recovered,815802
246,Susceptible,184198
247,Infectious,0
247,Recovered,815802
247,Susceptible,184198
248,Infectious,0
248,Recovered,815802
248,Susceptible,184198
249,Infectious,0
249,Recovered,815802
249,Susceptible,184198
250,Infectious,0
250,Recovered,815802
250,Susceptible,184198
251,Infectious,0
251,Recovered,815802
251,Susceptible,184198
252,Infectious,0
252,Recovered,815802
252,Susceptible,184198
253,Infectious,0
253,Recovered,815802
253,Susceptible,184198
254,Infectious,0
254,Recovered,815802
254,Susceptible,184198
255,Infectious,0
255,Recovered,815802
255,Susceptible,184198
256,Infectious,0
256,Recovered,815802
256,Susceptible,184198
257,Infectious,0
257,Recovered,815802
257,Susceptible,184198
258,Infectious,0
258,Recovered,815802
258,Susceptible,184198
259,Infectious,0
259,Recovered,815802
259,Susceptible,184198
260,Infectious,0
260,Recovered,815802
260,Susceptible,184198
261,Infectious,0
261,Recovered,815802
261,Susceptible,184198
262,Infectious,0
262,Recovered,815802
262,Susceptible,184198
263,Infectious,0
263,Recovered,815802
263,Susceptible,184198
264,Infectious,0
264,Recovered,815802
264,Susceptible,184198
265,Infectious,0
265,Recovered,815802
265,Susceptible,184198
266,Infectious,0
266,Recovered,815802
266,Susceptible,184198
267,Infectious,0
267,Recovered,815802
267,Susceptible,184198
268,Infectious,0
268,Recovered,815802
268,Susceptible,184198
269,Infectious,0
269,Recovered,815802
269,Susceptible,184198
270,Infectious,0
270,Recovered,815802
270,Susceptible,184198
271,Infectious,0
271,Recovered,815802
271,Susceptible,184198
272,Infectious,0
272,Recovered,815802
272,Susceptible,184198
273,Infectious,0
273,Recovered,815802
273,Susceptible,184198
274,Infectious,0
274,Recovered,815802
274,Susceptible,184198
275,Infectious,0
275,Recovered,815802
275,Susceptible,184198
276,Infectious,0
276,Recovered,815802
276,Susceptible,184198
277,Infectious,0
277,Recovered,815802
277,Susceptible,184198
278,Infectious,0
278,Recovered,815802
278,Susceptible,184198
279,Infectious,0
279,Recovered,815802
279,Susceptible,184198
280,Infectious,0
280,Recovered,815802
280,Susceptible,184198
281,Infectious,0
281,Recovered,815802
281,Susceptible,184198
282,Infectious,0
282,Recovered,815802
282,Susceptible,184198
283,Infectious,0
283,Recovered,815802
283,Susceptible,184198
284,Infectious,0
284,Recovered,815802
284,Susceptible,184198
285,Infectious,0
285,Recovered,815802
285,Susceptible,184198
286,Infectious,0
286,Recovered,815802
286,Susceptible,184198
287,Infectious,0
287,Recovered,815802
287,Susceptible,184198
288,Infectious,0
288,Recovered,815802
288,Susceptible,184198
289,Infectious,0
289,Recovered,815802
289,Susceptible,184198
290,Infectious,0
290,Recovered,815802
290,Susceptible,184198
291,Infectious,0
291,Recovered,815802
291,Susceptible,184198
292,Infectious,0
292,Recovered,815802
292,Susceptible,184198
293,Infectious,0
293,Recovered,815802
293,Susceptible,184198
294,Infectious,0
294,Recovered,815802
294,Susceptible,184198
295,Infectious,0
295,Recovered,815802
295,Susceptible,184198
296,Infectious,0
296,Recovered,815802
296,Susceptible,184198
297,Infectious,0
297,Recovered,815802
297,Susceptible,184198
298,Infectious,0
298,Recovered,815802
298,Susceptible,184198
299,Infectious,0
299,Recovered,815802
299,Susceptible,184198
300,Infectious,0
300,Recovered,815802
300,Susceptible,184198
301,Infectious,0
301,Recovered,815802
301,Susceptible,184198
302,Infectious,0
302,Recovered,815802
302,Susceptible,184198
303,Infectious,0
303,Recovered,815802
303,Susceptible,184198
304,Infectious,0
304,Recovered,815802
304,Susceptible,184198
305,Infectious,0
305,Recovered,815802
305,Susceptible,184198
306,Infectious,0
306,Recovered,815802
306,Susceptible,184198
307,Infectious,0
307,Recovered,815802
307,Susceptible,184198
308,Infectious,0
308,Recovered,815802
308,Susceptible,184198
309,Infectious,0
309,Recovered,815802
309,Susceptible,184198
310,Infectious,0
310,Recovered,815802
310,Susceptible,184198
311,Infectious,0
311,Recovered,815802
311,Susceptible,184198
312,Infectious,0
312,Recovered,815802
312,Susceptible,184198
313,Infectious,0
313,Recovered,815802
313,Susceptible,184198
314,Infectious,0
314,Recovered,815802
314,Susceptible,184198
315,Infectious,0
315,Recovered,815802
315,Susceptible,184198
316,Infectious,0
316,Recovered,815802
316,Susceptible,184198
317,Infectious,0
317,Recovered,815802
317,Susceptible,184198
318,Infectious,0
318,Recovered,815802
318,Susceptible,184198
319,Infectious,0
319,Recovered,815802
319,Susceptible,184198
320,Infectious,0
320,Recovered,815802
320,Susceptible,184198
321,Infectious,0
321,Recovered,815802
321,Susceptible,184198
322,Infectious,0
322,Recovered,815802
322,Susceptible,184198
323,Infectious,0
323,Recovered,815802
323,Susceptible,184198
324,Infectious,0
324,Recovered,815802
324,Susceptible,184198
325,Infectious,0
325,Recovered,815802
325,Susceptible,184198
326,Infectious,0
326,Recovered,815802
326,Susceptible,184198
327,Infectious,0
327,Recovered,815802
327,Susceptible,184198
328,Infectious,0
328,Recovered,815802
328,Susceptible,184198
329,Infectious,0
329,Recovered,815802
329,Susceptible,184198
330,Infectious,0
330,Recovered,815802
330,Susceptible,184198
331,Infectious,0
331,Recovered,815802
331,Susceptible,184198
332,Infectious,0
332,Recovered,815802
332,Susceptible,184198
333,Infectious,0
333,Recovered,815802
333,Susceptible,184198
334,Infectious,0
334,Recovered,815802
334,Susceptible,184198
335,Infectious,0
335,Recovered,815802
335,Susceptible,184198
336,Infectious,0
336,Recovered,815802
336,Susceptible,184198
337,Infectious,0
337,Recovered,815802
337,Susceptible,184198
338,Infectious,0
338,Recovered,815802
338,Susceptible,184198
339,Infectious,0
339,Recovered,815802
339,Susceptible,184198
340,Infectious,0
340,Recovered,815802
340,Susceptible,184198
341,Infectious,0
341,Recovered,815802
341,Susceptible,184198
342,Infectious,0
342,Recovered,815802
342,Susceptible,184198
343,Infectious,0
343,Recovered,815802
343,Susceptible,184198
344,Infectious,0
344,Recovered,815802
344,Susceptible,184198
345,Infectious,0
345,Recovered,815802
345,Susceptible,184198
346,Infectious,0
346,Recovered,815802
346,Susceptible,184198
347,Infectious,0
347,Recovered,815802
347,Susceptible,184198
348,Infectious,0
348,Recovered,815802
348,Susceptible,184198
349,Infectious,0
349,Recovered,815802
349,Susceptible,184198
350,Infectious,0
350,Recovered,815802
350,Susceptible,184198
351,Infectious,0
351,Recovered,815802
351,Susceptible,184198
352,Infectious,0
352,Recovered,815802
352,Susceptible,184198
353,Infectious,0
353,Recovered,815802
353,Susceptible,184198
354,Infectious,0
354,Recovered,815802
354,Susceptible,184198
355,Infectious,0
355,Recovered,815802
355,Susceptible,184198
356,Infectious,0
356,Recovered,815802
356,Susceptible,184198
357,Infectious,0
357,Recovered,815802
357,Susceptible,184198
358,Infectious,0
358,Recovered,815802
358,Susceptible,184198
359,Infectious,0
359,Recovered,815802
359,Susceptible,184198
360,Infectious,0
360,Recovered,815802
360,Susceptible,184198
361,Infectious,0
361,Recovered,815802
361,Susceptible,184198
362,Infectious,0
362,Recovered,815802
362,Susceptible,184198
363,Infectious,0
363,Recovered,815802
363,Susceptible,184198
364,Infectious,0
364,Recovered,815802
364,Susceptible,184198
365,Infectious,0
365,Recovered,815802
365,Susceptible,184198
366,Infectious,0
366,Recovered,815802
366,Susceptible,184198
367,Infectious,0
367,Recovered,815802
367,Susceptible,184198
368,Infectious,0
368,Recovered,815802
368,Susceptible,184198
369,Infectious,0
369,Recovered,815802
369,Susceptible,184198
370,Infectious,0
370,Recovered,815802
370,Susceptible,184198
371,Infectious,0
371,Recovered,815802
371,Susceptible,184198
372,Infectious,0
372,Recovered,815802
372,Susceptible,184198
373,Infectious,0
373,Recovered,815802
373,Susceptible,184198
374,Infectious,0
374,Recovered,815802
374,Susceptible,184198
375,Infectious,0
375,Recovered,815802
375,Susceptible,184198
376,Infectious,0
376,Recovered,815802
376,Susceptible,184198
377,Infectious,0
377,Recovered,815802
377,Susceptible,184198
378,Infectious,0
378,Recovered,815802
378,Susceptible,184198
379,Infectious,0
379,Recovered,815802
379,Susceptible,184198
380,Infectious,0
380,Recovered,815802
380,Susceptible,184198
381,Infectious,0
381,Recovered,815802
381,Susceptible,184198
382,Infectious,0
382,Recovered,815802
382,Susceptible,184198
383,Infectious,0
383,Recovered,815802
383,Susceptible,184198
384,Infectious,0
384,Recovered,815802
384,Susceptible,184198
385,Infectious,0
385,Recovered,815802
385,Susceptible,184198
386,Infectious,0
386,Recovered,815802
386,Susceptible,184198
387,Infectious,0
387,Recovered,815802
387,Susceptible,184198
388,Infectious,0
388,Recovered,815802
388,Susceptible,184198
389,Infectious,0
389,Recovered,815802
389,Susceptible,184198
390,Infectious,0
390,Recovered,815802
390,Susceptible,184198
391,Infectious,0
391,Recovered,815802
391,Susceptible,184198
392,Infectious,0
392,Recovered,815802
392,Susceptible,184198
393,Infectious,0
393,Recovered,815802
393,Susceptible,184198
394,Infectious,0
394,Recovered,815802
394,Susceptible,184198
395,Infectious,0
395,Recovered,815802
395,Susceptible,184198
396,Infectious,0
396,Recovered,815802
396,Susceptible,184198
397,Infectious,0
397,Recovered,815802
397,Susceptible,184198
398,Infectious,0
398,Recovered,815802
398,Susceptible,184198
399,Infectious,0
399,Recovered,815802
399,Susceptible,184198
400,Infectious,0
400,Recovered,815802
400,Susceptible,184198
401,Infectious,0
401,Recovered,815802
401,Susceptible,184198
402,Infectious,0
402,Recovered,815802
402,Susceptible,184198
403,Infectious,0
403,Recovered,815802
403,Susceptible,184198
404,Infectious,0
404,Recovered,815802
404,Susceptible,184198
405,Infectious,0
405,Recovered,815802
405,Susceptible,184198
406,Infectious,0
406,Recovered,815802
406,Susceptible,184198
407,Infectious,0
407,Recovered,815802
407,Susceptible,184198
408,Infectious,0
408,Recovered,815802
408,Susceptible,184198
409,Infectious,0
409,Recovered,815802
409,Susceptible,184198
410,Infectious,0
410,Recovered,815802
410,Susceptible,184198
411,Infectious,0
411,Recovered,815802
411,Susceptible,184198
412,Infectious,0
412,Recovered,815802
412,Susceptible,184198
413,Infectious,0
413,Recovered,815802
413,Susceptible,184198
414,Infectious,0
414,Recovered,815802
414,Susceptible,184198
415,Infectious,0
415,Recovered,815802
415,Susceptible,184198
416,Infectious,0
416,Recovered,815802
416,Susceptible,184198
417,Infectious,0
417,Recovered,815802
417,Susceptible,184198
418,Infectious,0
418,Recovered,815802
418,Susceptible,184198
419,Infectious,0
419,Recovered,815802
419,Susceptible,184198
420,Infectious,0
420,Recovered,815802
420,Susceptible,184198
421,Infectious,0
421,Recovered,815802
421,Susceptible,184198
422,Infectious,0
422,Recovered,815802
422,Susceptible,184198
423,Infectious,0
423,Recovered,815802
423,Susceptible,184198
424,Infectious,0
424,Recovered,815802
424,Susceptible,184198
425,Infectious,0
425,Recovered,815802
425,Susceptible,184198
426,Infectious,0
426,Recovered,815802
426,Susceptible,184198
427,Infectious,0
427,Recovered,815802
427,Susceptible,184198
428,Infectious,0
428,Recovered,815802
428,Susceptible,184198
429,Infectious,0
429,Recovered,815802
429,Susceptible,184198
430,Infectious,0
430,Recovered,815802
430,Susceptible,184198
431,Infectious,0
431,Recovered,815802
431,Susceptible,184198
432,Infectious,0
432,Recovered,815802
432,Susceptible,184198
433,Infectious,0
433,Recovered,815802
433,Susceptible,184198
434,Infectious,0
434,Recovered,815802
434,Susceptible,184198
435,Infectious,0
435,Recovered,815802
435,Susceptible,184198
436,Infectious,0
436,Recovered,815802
436,Susceptible,184198
437,Infectious,0
437,Recovered,815802
437,Susceptible,184198
438,Infectious,0
438,Recovered,815802
438,Susceptible,184198
439,Infectious,0
439,Recovered,815802
439,Susceptible,184198
440,Infectious,0
440,Recovered,815802
440,Susceptible,184198
441,Infectious,0
441,Recovered,815802
441,Susceptible,184198
442,Infectious,0
442,Recovered,815802
442,Susceptible,184198
443,Infectious,0
443,Recovered,815802
443,Susceptible,184198
444,Infectious,0
444,Recovered,815802
444,Susceptible,184198
445,Infectious,0
445,Recovered,815802
445,Susceptible,184198
446,Infectious,0
446,Recovered,815802
446,Susceptible,184198
447,Infectious,0
447,Recovered,815802
447,Susceptible,184198
448,Infectious,0
448,Recovered,815802
448,Susceptible,184198
449,Infectious,0
449,Recovered,815802
449,Susceptible,184198
450,Infectious,0
450,Recovered,815802
450,Susceptible,184198
451,Infectious,0
451,Recovered,815802
451,Susceptible,184198
452,Infectious,0
452,Recovered,815802
452,Susceptible,184198
453,Infectious,0
453,Recovered,815802
453,Susceptible,184198
454,Infectious,0
454,Recovered,815802
454,Susceptible,184198
455,Infectious,0
455,Recovered,815802
455,Susceptible,184198
456,Infectious,0
456,Recovered,815802
456,Susceptible,184198
