(BACKGROUND_COLOR:@Color{255,255,255}; X:-11.0; Y:-72.0; WIDTH:72.0; HEIGHT:121.0; RIGHT:61.0; BOTTOM:193.0;)
(ZOOM:1.0; X:0.0; Y:0.0; WIDTH:0.0; HEIGHT:0.0; PORTAL_WIDTH:0.0; PORTAL_HEIGHT:0.0; BOTTOM:0.0; RIGHT:0.0;)
(ID:1; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:11.0; Y:11.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=6.0,y=-16.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:12; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:44.0; Y:22.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=39.0,y=-27.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:13; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:55.0; Y:11.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=50.0,y=-16.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:14; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:55.0; Y:22.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=50.0,y=-27.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:15; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:44.0; Y:33.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=39.0,y=-38.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:16; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:44.0; Y:44.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=39.0,y=-49.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:17; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:55.0; Y:33.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=50.0,y=-38.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:18; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:55.0; Y:44.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=50.0,y=-49.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:19; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:55.0; Y:55.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=50.0,y=-60.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:20; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:44.0; Y:55.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=39.0,y=-60.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:21; SHAPE:ELLIPSE; ROTATION:0.0; SIZE:10.0; WIDTH:5.0; HEIGHT:5.0; X:44.0; Y:66.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=39.0,y=-71.0,w=10.0,h=10.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
