(IMPLANTATION:STENCIL_CANVAS; HEIGHT:119.0; Y:-98.0; X:-5.0; WIDTH:483.0;)
(PORTAL_WIDTH:0.0; IMPLANTATION:STENCIL_VIEW; ZOOM:1.0; HEIGHT:0.0; Y:-43.0; PORTAL_HEIGHT:0.0; X:-16.0; WIDTH:0.0;)
(HEIGHT:10.0; ID:i; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:319.0; Y:-11.0;)
(HEIGHT:10.0; ID:j; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:330.0; Y:-55.0;)
(HEIGHT:10.0; ID:k; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:341.0; Y:-55.0;)
(HEIGHT:10.0; ID:l; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:352.0; Y:-88.0;)
(HEIGHT:10.0; ID:m; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:363.0; Y:-66.0;)
(HEIGHT:10.0; ID:n; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:374.0; Y:-11.0;)
(HEIGHT:10.0; ID:o; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:385.0; Y:-22.0;)
(HEIGHT:10.0; ID:p; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:396.0; Y:-44.0;)
(HEIGHT:10.0; ID:r; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:407.0; Y:-33.0;)
(HEIGHT:10.0; ID:s; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:418.0; Y:-77.0;)
(HEIGHT:10.0; ID:t; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:429.0; Y:-77.0;)
(HEIGHT:10.0; ID:v; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:440.0; Y:-11.0;)
(HEIGHT:10.0; ID:w; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:451.0; Y:-44.0;)
(HEIGHT:10.0; ID:x; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:462.0; Y:-22.0;)
(HEIGHT:10.0; ID:z; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:473.0; Y:-11.0;)
