ID|ATT
"aajax"|Console-based Platforms
"aajax"|Apache License V2.0
"aajax"|Internet
"aajax"|Java
"aajax"|Web-based
"aajax"|Developers
"aajguestbook"|Beta
"aajguestbook"|Developers
"aajguestbook"|OS Independent (Written in an interpreted language)
"aajguestbook"|Front-Ends
"aajguestbook"|BSD License
"aajguestbook"|Java
"aajguestbook"|Communications
"aajguestbook"|Web-based
"aal"|GNU General Public License (GPL)
"aal"|System
"aal"|Multimedia
"aal"|C
"aal"|End Users/Desktop
"aal"|X Window System (X11)
"aal"|All POSIX (Linux/BSD/UNIX-like OSes)
"aal"|Beta
"aal"|Linux
"aal"|C++
"aal"|Desktop Environment
"aalan"|End Users/Desktop
"aalan"|GNU General Public License (GPL)
"aalan"|Beta
"aalan"|OS X
"aalan"|Cocoa (MacOS X)
"aalan"|Games/Entertainment
"aalan"|Internet
"aalan"|Objective C
"aalib"|Cygwin (MS Windows)
"aalib"|WinXP
"aalib"|All POSIX (Linux/BSD/UNIX-like OSes)
"aalib-perl"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aalib-perl"|Pre-Alpha
"aalib-perl"|Terminals
"aalib-perl"|Games/Entertainment
"aalib-perl"|All POSIX (Linux/BSD/UNIX-like OSes)
"aalib-perl"|Artistic License
"aalib-perl"|C
"aalib-perl"|Graphics
"aalib-perl"|X Window System (X11)
"aalib-perl"|IBM OS/2
"aalib-perl"|Perl
"aalib-perl"|Developers
"aaloha"|Plugins
"aaloha"|C
"aaloha"|Other/Proprietary License
"aaloha"|System Administrators
"aaloha"|GNU General Public License (GPL)
"aaloha"|Command-line
"aaloha"|Production/Stable
"aaloha"|All POSIX (Linux/BSD/UNIX-like OSes)
"aaloha"|End Users/Desktop
"aaloha"|Authentication/Directory
"aaloha"|Security
"aaloha"|Solaris
"aaloha"|Web-based
"aaloha"|OS Independent (Written in an interpreted language)
"aaloha"|Console/Terminal
"aaloha"|Linux
"aalyreth"|GNU General Public License (GPL)
"aalyreth"|Pre-Alpha
"aalyreth"|All POSIX (Linux/BSD/UNIX-like OSes)
"aalyreth"|Multi-User Dungeons (MUD)
"aalyreth"|Planning
"aalyreth"|Linux
"aalyreth"|Developers
"aalyreth"|C
"aam6000ug"|Linux
"aam6000ug"|GNU General Public License (GPL)
"aam6000ug"|Developers
"aam6000ug"|C
"aam6000ug"|All POSIX (Linux/BSD/UNIX-like OSes)
"aam6000ug"|Hardware Drivers
"aam6000ug"|Alpha
"aam6000ug"|End Users/Desktop
"aamfetch"|End Users/Desktop
"aamfetch"|Email
"aamfetch"|Cryptography
"aamfetch"|Win32 (MS Windows)
"aamfetch"|OS Independent (Written in an interpreted language)
"aamfetch"|Beta
"aamfetch"|GNU General Public License (GPL)
"aamfetch"|Developers
"aamfetch"|Java
"aamfetch"|X Window System (X11)
"aamirplayer"|End Users/Desktop
"aamirplayer"|WinXP
"aamirplayer"|Win32 (MS Windows)
"aamirplayer"|C
"aamirplayer"|32-bit MS Windows (NT/2000/XP)
"aamirplayer"|32-bit MS Windows (95/98)
"aamirplayer"|Visual Basic
"aamirplayer"|C++
"aamirplayer"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aamirplayer"|CD Playing
"aamirplayer"|Beta
"aamirplayer"|MP3
"aamirplayer"|GNU General Public License (GPL)
"aamirplayer"|Assembly
"aamirplayer"|Win2K
"aamon"|Production/Stable
"aamon"|Internet
"aamon"|All POSIX (Linux/BSD/UNIX-like OSes)
"aamon"|Linux
"aamon"|Developers
"aamon"|C++
"aamon"|GNU Library or Lesser General Public License (LGPL)
"aamon"|Software Development
"aams"|Science/Research
"aams"|Linux
"aams"|Education
"aams"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aams"|Scientific/Engineering
"aams"|Pre-Alpha
"aams"|Delphi/Kylix
"aams"|Academic Free License (AFL)
"aams"|Win32 (MS Windows)
"aams"|All POSIX (Linux/BSD/UNIX-like OSes)
"aanthill"|Education
"aanthill"|Artificial Intelligence
"aanthill"|Science/Research
"aanthill"|Planning
"aanthill"|Java
"aanthill"|GNU General Public License (GPL)
"aanthill"|End Users/Desktop
"aanthill"|OS Independent (Written in an interpreted language)
"aanthill"|Bio-Informatics
"aanval"|Healthcare Industry
"aanval"|Information Technology
"aanval"|Production/Stable
"aanval"|PHP
"aanval"|Web-based
"aanval"|Other/Proprietary License
"aanval"|Monitoring
"aanval"|Firewalls
"aanval"|Financial and Insurance Industry
"aanval"|All POSIX (Linux/BSD/UNIX-like OSes)
"aanval"|Security
"aanval"|System Administrators
"aanval"|Perl
"aaolog"|Perl
"aaolog"|Linux
"aaolog"|Planning
"aaolog"|Dynamic Content
"aaolog"|FreeBSD
"aaolog"|GNU General Public License (GPL)
"aaolog"|All POSIX (Linux/BSD/UNIX-like OSes)
"aaolog"|All BSD Platforms (FreeBSD/NetBSD/OpenBSD/Apple Mac OS X)
"aaolog"|PHP
"aaolog"|Web-based
"a-a-p"|Production/Stable
"a-a-p"|Build Tools
"a-a-p"|Win32 (MS Windows)
"a-a-p"|End Users/Desktop
"a-a-p"|X Window System (X11)
"a-a-p"|Developers
"a-a-p"|GNU General Public License (GPL)
"a-a-p"|Version Control
"a-a-p"|Alpha
"a-a-p"|System Administrators
"a-a-p"|All POSIX (Linux/BSD/UNIX-like OSes)
"a-a-p"|Python
"a-a-p"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aap"|Non-interactive (Daemon)
"aap"|End Users/Desktop
"aap"|Linux
"aap"|Web-based
"aap"|All POSIX (Linux/BSD/UNIX-like OSes)
"aap"|Production/Stable
"aap"|Developers
"aap"|System Administrators
"aap"|C
"aap"|Mature
"aap"|HTTP Servers
"aap"|SGI IRIX
"aap"|OS Independent (Written in an interpreted language)
"aap"|Apache Software License
"aapbem"|Java
"aapbem"|Planning
"aapbem"|Board Games
"aapje"|C
"aapje"|X Window System (X11)
"aapje"|End Users/Desktop
"aapje"|Chat
"aapje"|Beta
"aapje"|GNU General Public License (GPL)
"aapje"|All POSIX (Linux/BSD/UNIX-like OSes)
"aa-project"|IBM OS/2
"aa-project"|Games/Entertainment
"aa-project"|Developers
"aa-project"|C
"aa-project"|Terminals
"aa-project"|All POSIX (Linux/BSD/UNIX-like OSes)
"aa-project"|X Window System (X11)
"aa-project"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aa-project"|End Users/Desktop
"aa-project"|Mature
"aa-project"|Graphics
"aa-project"|GNU General Public License (GPL)
"aarchitect"|OS Independent (Written in an interpreted language)
"aarchitect"|X Window System (X11)
"aarchitect"|GNU General Public License (GPL)
"aarchitect"|End Users/Desktop
"aarchitect"|Games/Entertainment
"aarchitect"|Pre-Alpha
"aarchitect"|Java
"aardvark"|Developers
"aardvark"|Alpha
"aardvark"|JavaScript
"aardvark"|Web-based
"aardvark"|PHP
"aardvark"|GNU General Public License (GPL)
"aardvark"|Dynamic Content
"aardvarkfm"|Linux
"aardvarkfm"|Planning
"aardvarkfm"|GNU General Public License (GPL)
"aardvarkfm"|Gnome
"aardvarkfm"|End Users/Desktop
"aardvarkfm"|All POSIX (Linux/BSD/UNIX-like OSes)
"aardvarkfm"|Gnome
"aardvarkfm"|C
"aardvarktool"|Java
"aardvarktool"|OS Independent (Written in an interpreted language)
"aardvarktool"|Developers
"aardvarktool"|Beta
"aardvarktool"|Software Distribution
"aardvarktool"|Build Tools
"aardvarktool"|CVS
"aardvarktool"|Web-based
"aardvarktool"|BSD License
"aareport"|End Users/Desktop
"aareport"|Linux
"aareport"|All POSIX (Linux/BSD/UNIX-like OSes)
"aareport"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aareport"|Perl
"aareport"|First Person Shooters
"aarmed"|GNU General Public License (GPL)
"aarmed"|All POSIX (Linux/BSD/UNIX-like OSes)
"aarmed"|Apple Mac OS Classic
"aarmed"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aarmed"|End Users/Desktop
"aarmed"|Linux
"aarmed"|Planning
"aarmed"|Win32 (MS Windows)
"aarmed"|X Window System (X11)
"aarmed"|Emulators
"aarmed"|C++
"aaron"|C
"aaron"|Monitoring
"aaron"|Pre-Alpha
"aaron"|Ruby
"aaron"|OS Independent (Written in an interpreted language)
"aaron"|Planning
"aaron"|Apache Software License
"aaron"|Non-interactive (Daemon)
"aaron"|System Administrators
"aart"|End Users/Desktop
"aart"|All POSIX (Linux/BSD/UNIX-like OSes)
"aart"|Linux
"aart"|C
"aart"|Graphics Conversion
"aart"|Terminals
"aart"|GNU General Public License (GPL)
"aart"|Alpha
"aart"|Beta
"aartsprojetia"|Alpha
"aartsprojetia"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aartsprojetia"|KDE
"aartsprojetia"|Other Audience
"aartsprojetia"|Cocoa (MacOS X)
"aartsprojetia"|C++
"aartsprojetia"|GNU General Public License (GPL)
"aartsprojetia"|Artificial Intelligence
"aartsprojetia"|All POSIX (Linux/BSD/UNIX-like OSes)
"aartsprojetia"|Developers
"aartsprojetia"|Win32 (MS Windows)
"aas"|GNU General Public License (GPL)
"aas"|KDE
"aas"|PL/SQL
"aas"|C++
"aas"|Science/Research
"aas"|End Users/Desktop
"aas"|Linux
"aas"|Email
"aas"|Developers
"aas"|Production/Stable
"aas"|Information Technology
"aas"|Qt
"aas"|Speech
"aasgard"|GNU General Public License (GPL)
"aasgard"|End Users/Desktop
"aasgard"|C++
"aasgard"|Role-Playing
"aasgard"|OS Portable (Source code to work with many OS platforms)
"aasgard"|Planning
"aasgard"|Lua
"aast"|Serial
"aast"|Installation/Setup
"aast"|OS Independent (Written in an interpreted language)
"aast"|Assembly
"aast"|Alpha
"aast"|Communications
"aast"|System Administrators
"aast"|GNU General Public License (GPL)
"aatopendcd"|PHP
"aatopendcd"|Mature
"aatopendcd"|Non-interactive (Daemon)
"aatopendcd"|Production/Stable
"aatopendcd"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aatopendcd"|Alpha
"aatopendcd"|OS Independent (Written in an interpreted language)
"aatopendcd"|Web-based
"aatopendcd"|Other Audience
"aatopendcd"|Internet Relay Chat
"aatopendcd"|Delphi/Kylix
"aatopendcd"|File Sharing
"aatopendcd"|Linux
"aatopendcd"|Perl
"aatopendcd"|C++
"aatopendcd"|C
"aatopendcd"|All POSIX (Linux/BSD/UNIX-like OSes)
"aatopendcd"|Planning
"aatrade"|Web-based
"aatrade"|PL/SQL
"aatrade"|OS Independent (Written in an interpreted language)
"aatrade"|Developers
"aatrade"|Role-Playing
"aatrade"|End Users/Desktop
"aatrade"|Multi-User Dungeons (MUD)
"aatrade"|Beta
"aatrade"|Unix Shell
"aatrade"|GNU General Public License (GPL)
"aatrade"|Turn Based Strategy
"aatrade"|PHP
"aatv"|Web-based
"aatv"|X Window System (X11)
"aatv"|End Users/Desktop
"aatv"|GNU General Public License (GPL)
"aatv"|Video Capture
"aatv"|C
"aatv"|Terminals
"aatv"|Linux
"aatv"|Capture
"aatv"|Production/Stable
"aatv"|All POSIX (Linux/BSD/UNIX-like OSes)
"aavso-vsr"|End Users/Desktop
"aavso-vsr"|Enterprise
"aavso-vsr"|GNU General Public License (GPL)
"aavso-vsr"|Astronomy
"aavso-vsr"|Science/Research
"aavso-vsr"|PHP
"aavso-vsr"|Data Warehousing
"aavso-vsr"|Pre-Alpha
"aavso-vsr"|CRM
"aavso-vsr"|Web-based
"aavso-vsr"|Front-Ends
"aavso-vsr"|JavaScript
"ab2foaf"|Advanced End Users
"ab2foaf"|Alpha
"ab2foaf"|WWW/HTTP
"ab2foaf"|OS X
"ab2foaf"|Command-line
"ab2foaf"|Objective C
"ab2foaf"|BSD License
"ab2phpnuke"|Developers
"ab2phpnuke"|GNU General Public License (GPL)
"ab2phpnuke"|PHP
"ab2phpnuke"|Web-based
"ab2phpnuke"|Dynamic Content
"ab2phpnuke"|Beta
"aba"|Pre-Alpha
"aba"|Developers
"aba"|Web-based
"aba"|OS Independent (Written in an interpreted language)
"aba"|GNU General Public License (GPL)
"aba"|PHP
"aba"|Software Development
"abackgammon"|All POSIX (Linux/BSD/UNIX-like OSes)
"abackgammon"|Non-interactive (Daemon)
"abackgammon"|GTK+
"abackgammon"|End Users/Desktop
"abackgammon"|C++
"abackgammon"|GNU General Public License (GPL)
"abackgammon"|Planning
"abackgammon"|Board Games
"abackgammon"|32-bit MS Windows (NT/2000/XP)
"abackgammon"|Win32 (MS Windows)
"abackupservice"|Advanced End Users
"abacom"|End Users/Desktop
"abacom"|Site Management
"abacom"|OS Independent (Written in an interpreted language)
"abacom"|Planning
"abacom"|Web-based
"abacom"|GNU General Public License (GPL)
"abacom"|Java
"abacom"|PHP
"abacom"|System Administrators
"abacom"|JavaScript
"abacom"|Message Boards
"aba-curling"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aba-curling"|Beta
"aba-curling"|Delphi/Kylix
"aba-curling"|Side-Scrolling/Arcade Games
"aba-curling"|Win32 (MS Windows)
"aba-curling"|GNU General Public License (GPL)
"aba-curling"|Developers
"aba-curling"|Physics
"aba-curling"|End Users/Desktop
"abacuses"|OS Independent (Written in an interpreted language)
"abacuses"|Education
"abacuses"|Mathematics
"abacuses"|Advanced End Users
"abacuses"|Information Analysis
"abacuses"|Science/Research
"abacuses"|GNU General Public License (GPL)
"abacuses"|Java Swing
"abacuses"|Java
"abacuses"|Pre-Alpha
"abaguibuilder"|OS Independent (Written in an interpreted language)
"abaguibuilder"|Software Development
"abaguibuilder"|Production/Stable
"abaguibuilder"|Java
"abaguibuilder"|Developers
"abaguibuilder"|GNU General Public License (GPL)
"abakus"|Other/Proprietary License
"abakus"|C++
"abakus"|GNU General Public License (GPL)
"abakus"|Database
"abakus"|Education
"abakus"|KDE
"abakus"|Planning
"abakus"|Linux
"abakus"|Education
"abamath"|Computer Aided Instruction (CAI)
"abamath"|GNU General Public License (GPL)
"abamath"|Alpha
"abamath"|Win32 (MS Windows)
"abamath"|C
"abamath"|Education
"abamath"|All 32-bit MS Windows (95/98/NT/2000/XP)
"abaque"|Win32 (MS Windows)
"abaque"|OS Independent (Written in an interpreted language)
"abaque"|Developers
"abaque"|X Window System (X11)
"abaque"|Inactive
"abaque"|Object Brokering
"abaque"|GNU Library or Lesser General Public License (LGPL)
"abaque"|Build Tools
"abaque"|Java
"abat"|Software Development
"abat"|Other Audience
"abat"|Perl
"abat"|Linux
"abat"|Developers
"abat"|Beta
"abat"|All POSIX (Linux/BSD/UNIX-like OSes)
"abat"|BSD License
"abbackup"|Backup
"abbackup"|GNU General Public License (GPL)
"abbackup"|Advanced End Users
"abbackup"|Planning
"abbackup"|All POSIX (Linux/BSD/UNIX-like OSes)
"abbackup"|Unix Shell
"abbackup"|System Administrators
"abbackup"|Command-line
"abbo"|Web-based
"abbo"|Message Boards
"abbo"|All POSIX (Linux/BSD/UNIX-like OSes)
"abbo"|Action Script
"abbo"|GNU General Public License (GPL)
"abbo"|Planning
"abbo"|Advanced End Users
"abbot"|OS Independent (Written in an interpreted language)
"abbot"|Developers
"abbot"|Common Public License
"abbot"|Testing
"abbot"|Quality Engineers
"abbot"|User Interfaces
"abbot"|Java
"abbot"|Production/Stable
"abbott"|Internet Relay Chat
"abbott"|Project is a remote control application
"abbott"|Academic Free License (AFL)
"abbott"|C
"abbott"|To-Do Lists
"abbott"|All POSIX (Linux/BSD/UNIX-like OSes)
"abbott"|Advanced End Users
"abbott"|Alpha
"abbruch"|All POSIX (Linux/BSD/UNIX-like OSes)
"abbruch"|Alpha
"abbruch"|Linux
"abbruch"|GNU General Public License (GPL)
"abbruch"|Perl
"abbruch"|System Administrators
"abbruch"|End Users/Desktop
"abbruch"|Planning
"abbruch"|Filters
"abbruch-web"|GNU General Public License (GPL)
"abbruch-web"|Planning
"abbruch-web"|Web-based
"abbruch-web"|System Administrators
"abbruch-web"|Linux
"abbruch-web"|All POSIX (Linux/BSD/UNIX-like OSes)
"abbruch-web"|End Users/Desktop
"abbruch-web"|Filters
"abbruch-web"|Perl
"abc"|X Window System (X11)
"abc"|Other/Nonlisted Topic
"abc"|Advanced End Users
"abc"|Developers
"abc"|End Users/Desktop
"abc"|Editors
"abc"|Win32 (MS Windows)
"abc"|OS Independent (Written in an interpreted language)
"abc"|Education
"abc"|Production/Stable
"abc"|Pre-Alpha
"abc"|C
"abc"|GNU General Public License (GPL)
"abc"|Planning
"abc"|MIDI
"abc"|Quality Engineers
"abc"|Science/Research
"abc"|Players
"abc"|Web-based
"abc"|PHP
"abc-123"|Other Audience
"abc-123"|Chat
"abc-123"|PHP
"abc-123"|GNU General Public License (GPL)
"abc-123"|Production/Stable
"abcdoppelganger"|C#
"abcdoppelganger"|End Users/Desktop
"abcdoppelganger"|Beta
"abcdoppelganger"|.NET/Mono
"abcdoppelganger"|32-bit MS Windows (NT/2000/XP)
"abcdoppelganger"|BitTorrent
"abcdoppelganger"|Artistic License
"abcdp"|All POSIX (Linux/BSD/UNIX-like OSes)
"abcdp"|C
"abcdp"|Production/Stable
"abcdp"|End Users/Desktop
"abcdp"|Linux
"abcdp"|GNU General Public License (GPL)
"abcdp"|CD Playing
"abcdp"|Curses/Ncurses
"abchr"|Linux
"abchr"|Beta
"abchr"|All POSIX (Linux/BSD/UNIX-like OSes)
"abchr"|C++
"abchr"|GNU General Public License (GPL)
"abchr"|X Window System (X11)
"abchr"|End Users/Desktop
"abchr"|Sound/Audio
"abci"|C++
"abci"|End Users/Desktop
"abci"|Advanced End Users
"abci"|WinXP
"abci"|Project is a remote control application
"abci"|Pre-Alpha
"abci"|GNU General Public License (GPL)
"abci"|Human Machine Interfaces
"abcl"|Planning
"abcl"|System Administrators
