Date,Open,High,Low,Close,Volume
10-May-05,225.47,227.8,224.72,227.8,6345800
11-May-05,228.97,231.98,227.93,231.29,11478800
12-May-05,230.81,232.23,228.2,228.72,8948200
13-May-05,229.18,231.09,227.32,229.24,7415500
16-May-05,229.68,231.62,228.57,231.05,5681400
17-May-05,230.56,233.45,230.2,233.13,7808900
18-May-05,233.61,239.97,233.52,239.16,12312000
19-May-05,240.34,241.17,238.27,239.18,9716500
20-May-05,241.21,241.67,239.65,241.61,8163500
23-May-05,243.16,258.1,242.71,255.45,21388300
24-May-05,256.96,265.44,253.5,256,29043100
25-May-05,252.73,260.98,250.63,260.81,18057900
26-May-05,260.96,263.76,258.3,259.2,13546600
27-May-05,260.46,266.05,259.25,266,12184100
31-May-05,269.43,278.4,269.37,277.27,22236800
1-Jun-05,283.2,292.89,282.02,288,35191700
2-Jun-05,288.73,289.78,284.6,287.9,17974100
3-Jun-05,286.79,289.3,277.41,280.26,18782300
6-Jun-05,282.39,293.75,281.83,290.94,22525900
7-Jun-05,297.1,299.59,290.3,293.12,24323000
8-Jun-05,292.85,293.19,278,279.56,25700900
9-Jun-05,284.72,288.5,280.56,286.31,16441100
10-Jun-05,286.99,287.28,280.02,282.5,12696600
13-Jun-05,279.82,284.19,276.52,282.75,12803200
14-Jun-05,278.59,281.24,277.75,278.35,10091900
15-Jun-05,275,277.3,267.43,274.8,20883100
16-Jun-05,274.26,278.3,273.07,277.44,12462400
17-Jun-05,279,280.3,275.9,280.3,10434400
20-Jun-05,276.09,287.67,271.73,286.7,21024700
21-Jun-05,288.07,290.3,284.97,287.84,15132300
22-Jun-05,289.67,292.32,288.67,289.3,10474000
23-Jun-05,288,294.81,286.5,289.71,14056400
24-Jun-05,290.9,298,289.58,297.25,17771200
27-Jun-05,298.9,304.47,293.86,304.1,17802900
28-Jun-05,306.28,309.25,302,302,19036500
29-Jun-05,302.5,304.38,292.15,292.72,18298700
30-Jun-05,294.34,298.93,291.04,294.15,15094400
1-Jul-05,295.04,296.24,289.22,291.25,9227600
5-Jul-05,292.1,295.98,290.23,295.71,7494000
6-Jul-05,297.3,297.6,291.38,291.52,8000300
7-Jul-05,289.39,295.8,288.51,295.54,10672100
8-Jul-05,296.25,297.5,294.05,296.23,7457600
11-Jul-05,296.4,296.6,291.02,293.35,8390300
12-Jul-05,293.39,294.4,290.93,291.78,5864900
13-Jul-05,292.51,299.24,292.1,298.86,11437900
14-Jul-05,305.34,306.75,300.07,300.89,10667700
15-Jul-05,301.24,303.4,299.78,301.19,8438400
18-Jul-05,300,301.9,297.75,299.54,6207800
19-Jul-05,302.1,310.35,301.8,309.9,12621400
20-Jul-05,305.57,312.61,301.8,312,14310400
21-Jul-05,314.05,317.8,311.21,313.94,19789400
22-Jul-05,306.37,309.25,296.33,302.4,23386800
25-Jul-05,302.39,303.29,294.96,295.85,9658800
26-Jul-05,295.01,298,292.09,296.09,9816900
27-Jul-05,297.74,298.23,292.4,296.93,7217900
28-Jul-05,297.41,297.41,293.28,293.5,5925600
29-Jul-05,292.14,292.84,286.99,287.76,8363300
1-Aug-05,288.12,292.5,288.1,291.61,5662400
2-Aug-05,291.6,299.52,291.12,299.19,7290200
3-Aug-05,298,299.72,295.6,297.3,5930600
4-Aug-05,295.55,299,295.25,297.73,5236500
5-Aug-05,297.5,298.51,291.31,292.35,5939700
8-Aug-05,293.6,295.65,290.49,291.25,4481800
9-Aug-05,291.96,292.68,288.51,291.57,5779300
10-Aug-05,291.3,292.33,284.88,285.68,6879000
11-Aug-05,285.89,286.58,280.62,284.05,7514900
12-Aug-05,283.36,290.2,281.64,289.72,6585900
15-Aug-05,289.8,292.77,283.77,284,8174700
16-Aug-05,284.88,287.79,283.34,285.65,7109200
17-Aug-05,285.51,286.57,284,285.1,3883300
18-Aug-05,275.91,280.5,275,279.99,11872800
19-Aug-05,280.99,281.45,279.62,280,5542900
22-Aug-05,281.24,281.47,273.35,274.01,6813000
23-Aug-05,276.16,279.74,274.12,279.58,5821700
24-Aug-05,277.57,284.75,276.45,282.57,8593100
25-Aug-05,282.55,284,279.97,282.59,4376600
26-Aug-05,283.48,285.02,282.66,283.58,3755300
29-Aug-05,282.24,289.12,282.24,288.45,5903000
30-Aug-05,287.39,289.51,285.88,287.27,4792000
31-Aug-05,288.23,288.5,284.36,286,5034000
1-Sep-05,285.91,287.5,285,286.25,2742100
2-Sep-05,286.51,289.99,286.44,288.45,3434500
6-Sep-05,289,289.39,286.8,287.11,4212300
7-Sep-05,285.89,295.5,285.28,294.87,7499500
8-Sep-05,294.83,299.28,293.36,295.39,6613300
9-Sep-05,297.28,299.1,296.56,299.09,4390500
12-Sep-05,301.75,311.42,301,309.74,10386500
13-Sep-05,309,315.53,306.17,311.68,10299900
14-Sep-05,308.73,313.28,300.3,303,11275800
15-Sep-05,299.52,306.75,297.91,302.62,15466200
16-Sep-05,304.02,304.5,299.87,300.2,7579800
19-Sep-05,301,306,300.71,303.79,5761900
20-Sep-05,306.15,311.3,305.23,307.91,9351000
21-Sep-05,308.41,313.76,305.96,311.9,10119700
22-Sep-05,311.5,319.22,310.17,311.37,13006400
23-Sep-05,313,317.21,312.59,315.36,8483800
26-Sep-05,319.5,320.95,312.56,314.28,9894400
27-Sep-05,314.95,318.41,313.38,313.94,6873100
28-Sep-05,314.22,315.1,305.6,306,7997400
29-Sep-05,306.68,310.72,306.08,309.62,5613800
30-Sep-05,314.22,317.5,312.29,316.46,9151300
3-Oct-05,313.63,320.11,312.79,318.68,9160300
4-Oct-05,319.95,321.28,310.74,311,9144300
5-Oct-05,312.69,314.9,308,310.71,8328400
6-Oct-05,314.14,314.48,310.09,312.75,7993800
7-Oct-05,314.79,316.67,310.54,312.99,6770300
10-Oct-05,313.31,314.82,309.15,310.65,5572200
11-Oct-05,310.61,312.65,304.86,306.1,8542600
12-Oct-05,305.2,307.19,299,300.97,9306200
13-Oct-05,302,302,290.68,297.44,10567700
14-Oct-05,299.9,300.23,292.54,296.14,8519100
17-Oct-05,297.5,305.2,294.56,305,7566700
18-Oct-05,304.96,307.96,302.74,303.28,7077800
19-Oct-05,304,309.87,303.96,308.7,7010700
20-Oct-05,309.99,311.13,301.21,303.2,13911700
21-Oct-05,345.8,346.43,333,339.9,22892400
24-Oct-05,343.37,349.3,342.19,348.65,9431700
25-Oct-05,345.78,347.4,342.86,346.91,6878300
26-Oct-05,346.28,356,346.19,355.44,8907500
27-Oct-05,356.6,357.09,351.68,353.06,5134400
28-Oct-05,355.27,358.95,355.02,358.17,5903500
31-Oct-05,360.24,374.75,359.51,372.14,14342900
1-Nov-05,371.86,383.9,369.01,379.38,16356100
2-Nov-05,381.7,385,377.17,379.68,10565400
3-Nov-05,382.41,386.58,381.38,385.95,7448400
4-Nov-05,389.98,391.79,385.45,390.43,8824900
7-Nov-05,395.1,397.47,392.15,395.03,9591500
8-Nov-05,394.25,395.59,388.58,389.9,7897500
9-Nov-05,386.67,388.29,378.03,379.15,10466900
10-Nov-05,378.36,391.35,377.43,391.1,9128700
11-Nov-05,395.12,396.9,388.85,390.4,7063900
14-Nov-05,392.12,398.22,391.53,396.97,7807900
15-Nov-05,394.38,397,390.95,392.8,8624900
16-Nov-05,396.2,398.85,394.11,398.15,8695200
17-Nov-05,401.8,403.81,399.53,403.45,9212200
18-Nov-05,403.49,404.5,399.85,400.21,7025600
21-Nov-05,399.17,409.98,393.49,409.36,10335100
22-Nov-05,408.65,417.31,406.23,416.47,9596000
23-Nov-05,417.04,424.72,415.78,422.86,10085000
25-Nov-05,425.78,428.75,425.3,428.62,4840100
28-Nov-05,429.82,431.24,422.44,423.48,11008400
29-Nov-05,424.46,426.4,402.14,403.54,21495800
30-Nov-05,404.26,408.45,395.56,404.91,15596600
1-Dec-05,409.2,415.44,408.29,414.09,9744900
2-Dec-05,416.94,419.53,413.86,417.7,7543500
5-Dec-05,417,417.5,404.28,405.85,10289400
6-Dec-05,408.7,416.41,401.7,404.54,15125300
7-Dec-05,406.16,406.7,399.01,404.22,11665900
8-Dec-05,405.3,410.65,402.64,410.65,8910000
9-Dec-05,415,415.78,408.56,409.2,7643400
12-Dec-05,414.63,415.21,409.95,412.61,6950100
13-Dec-05,412.5,418,411.64,417.49,8163800
14-Dec-05,417.04,419.73,415.49,418.96,6630400
15-Dec-05,419.11,423.14,416.5,422.55,6045800
16-Dec-05,425.34,432.5,422.75,430.15,16330500
19-Dec-05,432.2,446.21,420.11,424.6,21936800
20-Dec-05,427.86,432.2,424.67,429.74,10084700
21-Dec-05,433.55,436.86,420.71,426.33,11221900
22-Dec-05,431.77,432.86,425.93,432.04,7546600
23-Dec-05,432.15,432.5,428.78,430.93,4595100
27-Dec-05,431.86,431.86,422.76,424.64,6702800
28-Dec-05,424.34,427.78,421.26,426.69,7117900
29-Dec-05,427.98,428.73,419.17,420.15,6945800
30-Dec-05,417.27,418.21,413.74,414.86,7587100
3-Jan-06,422.52,435.67,418.22,435.23,13121200
4-Jan-06,443.9,448.96,439.75,445.24,15286400
5-Jan-06,446,451.55,441.5,451.24,10808300
6-Jan-06,456.87,470.5,453.24,465.66,17756900
9-Jan-06,466.41,473.4,460.94,466.9,12791900
10-Jan-06,464.42,470.25,462.04,469.76,9097100
11-Jan-06,471.27,475.11,469.18,471.63,9007400
12-Jan-06,473.72,474.99,461.5,463.63,10125300
13-Jan-06,464.31,466.89,461.61,466.25,7656600
17-Jan-06,463.06,469.9,462.53,467.11,8270300
18-Jan-06,447.3,457.36,443.25,444.91,20485700
19-Jan-06,451.17,453.49,433,436.45,14537300
20-Jan-06,438.7,440.03,394.74,399.46,41116700
23-Jan-06,407.38,428.39,405.73,427.5,22741400
24-Jan-06,436.03,444.95,434.48,443.03,15464600
25-Jan-06,451.26,454.23,429.22,433,18739800
26-Jan-06,439.54,439.99,423.56,434.27,12926100
27-Jan-06,435,438.22,428.98,433.49,8452200
30-Jan-06,429.23,433.28,425,426.82,8588900
31-Jan-06,430.57,439.6,423.97,432.66,22066000
1-Feb-06,389.03,402,387.52,401.78,27122500
2-Feb-06,403.82,406.5,395.98,396.04,11807700
3-Feb-06,393.62,393.9,372.57,381.55,18281800
6-Feb-06,385.31,389.9,379.56,385.1,8940400
7-Feb-06,382.99,383.7,363.35,367.92,16630200
8-Feb-06,368.48,370.69,354.67,369.08,20804100
9-Feb-06,371.2,374.4,356.11,358.77,11912400
10-Feb-06,361.95,364.5,353.14,362.61,15223500
13-Feb-06,346.64,350.6,341.89,345.7,19717800
14-Feb-06,345.33,351.69,342.4,343.32,14654000
15-Feb-06,341.27,346,337.83,342.38,12947000
16-Feb-06,345.67,367,344.49,366.46,21315500
17-Feb-06,369.86,372.14,363.62,368.75,14320200
21-Feb-06,366.44,373.54,365.11,366.59,8686000
22-Feb-06,367.15,368.95,363.86,365.49,6476200
23-Feb-06,365.61,381.24,365.39,378.07,12551600
24-Feb-06,377.3,380.07,373.49,377.4,6484300
27-Feb-06,381.27,391.7,380.28,390.38,10212200
28-Feb-06,393.2,397.54,338.51,362.62,39437600
1-Mar-06,368.56,369.45,361.3,364.8,12061200
2-Mar-06,364.28,381.1,362.2,376.45,18330300
3-Mar-06,384.3,387.24,375.76,378.18,11962000
6-Mar-06,380.91,383.4,367.14,368.1,8939700
7-Mar-06,365.02,368.45,358.15,364.45,10378800
8-Mar-06,353.93,360.03,350.54,353.88,11745600
9-Mar-06,355.39,358.53,341.5,343,13910400
10-Mar-06,343.5,344.5,331.55,337.5,19325600
13-Mar-06,340.93,346.1,335.45,337.06,13642400
14-Mar-06,337.14,352.37,332.62,351.16,18450700
15-Mar-06,350.77,352.3,340.53,344.5,12768800
16-Mar-06,348.61,348.75,337.9,338.77,10016700
17-Mar-06,338.8,341.78,334.93,339.79,8551700
20-Mar-06,342.34,350.09,341.54,348.19,10407600
21-Mar-06,350.01,351.66,339.08,339.92,9831100
22-Mar-06,339.75,344.1,337.5,340.22,7596000
23-Mar-06,342.35,345.75,340.2,341.89,7434700
24-Mar-06,368.62,370.09,362.51,365.8,15180600
27-Mar-06,367.09,371.71,365,369.69,7023700
28-Mar-06,371.71,377.86,371.17,377.2,8945800
29-Mar-06,379.94,399,379.51,394.98,19027500
30-Mar-06,389.19,393.5,383.61,388.44,14711700
31-Mar-06,388.74,391.87,384.03,390,36521400
3-Apr-06,389.53,392.47,387.93,389.7,8122700
4-Apr-06,389.9,404.9,388.14,404.34,15715700
5-Apr-06,408.2,414.57,402.82,407.99,13410500
6-Apr-06,406.49,413.89,405.43,411.18,8598500
7-Apr-06,412.41,412.85,404.02,406.16,7025900
10-Apr-06,407.08,417.17,405.25,416.38,9320100
11-Apr-06,416.42,419.1,406.22,409.66,11107200
12-Apr-06,409,411.33,405.19,408.95,6017000
13-Apr-06,408.63,409.76,400.5,402.16,6552900
17-Apr-06,403.45,412.5,400.84,406.82,8259500
18-Apr-06,407.93,409.83,401.5,404.24,8137600
19-Apr-06,412.57,413.64,406.73,410.5,6781700
20-Apr-06,411.01,416,408.2,415,12271500
21-Apr-06,448.9,450.72,436.17,437.1,22551300
24-Apr-06,439.4,444.7,436.52,440.5,8836400
25-Apr-06,439.63,441.04,426,427.16,9569000
26-Apr-06,427.74,430.04,423.53,425.97,7277800
27-Apr-06,422.91,426.91,419.39,420.03,8337900
28-Apr-06,418.63,425.73,416.3,417.94,7421300
1-May-06,418.47,419.44,398.55,398.9,10361200
2-May-06,401.08,402.49,388.4,394.8,13104300
3-May-06,396.35,401.5,390.88,394.17,8072200
4-May-06,395.03,398.87,392.21,394.75,4652000
5-May-06,397.6,400.68,391.78,394.3,6065000
8-May-06,395.11,397.12,390.05,394.78,5118600
9-May-06,395.7,409,393.75,408.8,9140600
10-May-06,408.31,411.71,401.86,402.98,6187200
11-May-06,403.42,404.71,384.98,387,8892800
12-May-06,383.54,384.87,373.55,374.13,10087600
15-May-06,375.93,380.15,368.25,376.2,8590100
16-May-06,375.99,376.86,369.89,371.3,6491100
17-May-06,370.61,379.84,370.22,374.5,10643800
18-May-06,378.78,381.81,370.71,370.99,5835000
19-May-06,373.28,374.5,360.57,370.02,11398200
22-May-06,367.85,373.03,365.25,370.95,8604400
23-May-06,374.21,383.88,373.56,375.58,8983000
24-May-06,377.35,383.44,371.61,381.25,9553800
25-May-06,379.08,383,372.31,382.99,8194600
26-May-06,384.55,385.88,380.03,381.35,3667000
30-May-06,378.28,381,371.45,371.94,4316000
31-May-06,373.8,378.25,366.78,371.82,7981300
1-Jun-06,373.54,382.99,371.6,382.62,6278000
2-Jun-06,386.84,387.08,377.45,379.44,6386400
5-Jun-06,376.18,381.45,374.15,374.44,5558500
6-Jun-06,376.58,390,376.3,389.99,10259800
7-Jun-06,393.24,394.86,386.5,386.51,8911300
8-Jun-06,387.75,394.27,378.59,393.3,10359500
9-Jun-06,392.19,395.43,385.35,386.57,6157500
12-Jun-06,388.34,390.49,381,381.54,5019100
13-Jun-06,380.9,387,378.12,386.52,7659100
14-Jun-06,389.83,391.1,378.52,384.39,7772000
15-Jun-06,386.62,392.25,383,391,6785700
16-Jun-06,389.1,390.93,388,390.7,5304600
19-Jun-06,390.85,394.8,386.98,388.14,7633100
20-Jun-06,388.03,391.87,386.51,387.17,4039900
21-Jun-06,391.06,404,389.75,402.13,8744400
22-Jun-06,401.58,406,388,399.95,5911900
23-Jun-06,402.76,409.75,400.74,404.86,5314800
26-Jun-06,406.75,408.3,403.25,404.22,3551200
27-Jun-06,405.71,408,401.01,402.32,4107100
28-Jun-06,404.01,406.48,401.13,406.11,3710500
29-Jun-06,407.99,418.2,405.82,417.81,6658200
30-Jun-06,415.6,419.33,412.33,419.33,6258000
3-Jul-06,420.04,423.77,419.45,423.2,2156700
5-Jul-06,421.52,422.8,415.64,421.46,4985600
6-Jul-06,423.38,425.38,421.98,423.19,3687100
7-Jul-06,426.05,427.89,415.88,420.45,6041900
10-Jul-06,423.44,425.23,416.38,418.2,4436400
11-Jul-06,418.51,425.05,413.03,424.56,5971300
12-Jul-06,422.09,422.74,416.73,417.25,4906700
13-Jul-06,414,418.34,406.83,408.83,6924500
14-Jul-06,410.33,411.49,398.61,403.5,7552100
17-Jul-06,404.63,411,403.72,407.89,5811900
18-Jul-06,409.75,410.57,397.74,403.05,8536800
19-Jul-06,395.01,401.14,394.66,399,8518500
20-Jul-06,404.28,404.44,385.66,387.12,12538700
21-Jul-06,386.14,391.75,377.69,390.11,11754600
24-Jul-06,392.82,393.89,381.21,390.9,8086100
25-Jul-06,385.02,391.31,383.8,389.36,5761100
26-Jul-06,388.2,391.91,383,385.5,5531900
27-Jul-06,387.37,387.49,377.95,382.4,5641100
28-Jul-06,382,389.56,381.73,388.12,4083600
31-Jul-06,388,389.17,383.31,386.6,4595300
1-Aug-06,385.11,385.77,375.51,375.51,5463200
2-Aug-06,375.6,377.17,365.2,367.23,7097800
3-Aug-06,364.98,377.91,363.36,375.39,6327000
4-Aug-06,379.56,380.68,371.75,373.85,5095200
7-Aug-06,371.5,379.73,371.15,377.95,3946900
8-Aug-06,382.82,384.5,379.09,381,5743200
9-Aug-06,382.8,384.68,376.36,376.94,4311000
10-Aug-06,373.88,377.67,372.46,374.2,4261900
11-Aug-06,374.4,375.28,368,368.5,3766500
14-Aug-06,371.5,375.13,368.67,369.43,4968300
15-Aug-06,374.11,381.67,372.6,380.97,6698200
16-Aug-06,383.48,388.45,382.12,387.72,5853200
17-Aug-06,386.39,390,383.92,385.8,5080200
18-Aug-06,386.31,387.09,380.75,383.36,4952200
21-Aug-06,378.1,379,375.22,377.3,4023300
22-Aug-06,377.73,379.26,374.84,378.29,4164100
23-Aug-06,377.64,378.27,372.66,373.43,3642300
24-Aug-06,374.44,376.4,372.26,373.73,3482500
25-Aug-06,373.08,375.32,372.5,373.26,2466700
28-Aug-06,375.61,380.95,375,380.95,4164000
29-Aug-06,380.78,382.32,377.2,378.95,4460000
30-Aug-06,379.21,384.65,378.51,380.75,4044400
31-Aug-06,381.49,382.15,378.2,378.53,2959900
1-Sep-06,380.99,381.28,377.19,378.6,2672900
5-Sep-06,379.87,385.4,377.44,384.36,4074300
